org_id;org_name;legal_form;polactive_start_date;polactive_end_date;seat_location;zipcode;region_abb;country_abb;longitude;latitude;ig_type;policy_area;address_raw;GAVA_assoc_id;GAVA_assoc_name;GAVA_assoc_aggregate_name;GAVA_assoc_legal_form;GAVA_assoc_general;GAVA_assoc_ig_type;GAVA_assoc_ig_type_name;GAVA_assoc_ig_code;GAVA_assoc_ig_code_name;GAVA_level;GAVA_category;GAVA_topic;GAVA_topic_business;NCCR_nqid;NCCR_A4 Organisation;GK_interest_group;GK_canton_ig_raw;GK_type;GK_policy_code
CH_ODWilMD29RG5;Swiss Casinos Academy AG;AG;2002;2003;Zürich;8000;ZH;CH;8,475219;47,360508;;;;5586;Swiss Casino Holding AG;Swiss Casino Holding AG;11;Societe;20;Business groups;26;Private firm/company;98;NA;15;1500;NA;NA;Sozialbeirat Swiss Casinos;ZH;ngo;13
CH_MH1AReMkjVJf;Telematica SA;AG;1995;1995;Disentis/Mustér;7180;GR;CH;8,85141;46,70362;26;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_be+pn6rWCj7/;Verein Telecommunicaziun Surselva, (KMG), Disentis/Muster;Ve.;1995;1997;Disentis/Mustér;7180;GR;CH;8,85141;46,70362;80;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_K56mPDIP+esI;VMI Abt. ETH;Anst.;1995;1995;Zürich;8000;ZH;CH;8,475219;47,360508;40;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_tnDpswxxCn2m;Wirtschaftsforum Graubünden, Chur;Stift.;1995;2010;Chur;7000;GR;CH;9,530139939;46,85211073;;;;6310;Wirtschaftsforum Graubünden Chur;Wirtschaftsforum Graubünden Chur;20;Fondation;30;Institutional associations;32;Associations of other public institutions;2;Regional/Cantonal;14;98;NA;NA;NA;NA;NA;NA
CH_fDrDxuPIiDs/;Aeroleasing S.A:;AG;1999;1999;Cointrin;1216;GE;CH;6,118059501;46,210896;26;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Aeroleasing S.A;GE;comp;10
CH_FduMZYJHbAC+;Affichage Holding SA, Genève;AG;2000;2007;Genève;1200;GE;CH;6,14139354;46,20577413;;;;120;Affichage Holding AG;Affichage Holding SA;11;Societe;20;Business groups;26;Private firm/company;98;NA;17;98;NA;NA;Affichage Holding S.A., Genève;GE;comp;15
CH_KKlnnNpmROR2;Alba Allgemeine Versicherungs-Gesellschaft AG, Basel;AG;2000;2001;Basel;4000;BS;CH;7,58053;47,559662;26;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
CH_L+lzyJ6ARx9N;Allianz Suisse Assurances + Vie, Zürich;AG;2000;2005;Zürich;8000;ZH;CH;8,475219;47,360508;;;;243;Allianz Assurances + Vie Zürich;Allianz Assurances + Vie Zürich;11;Societe;20;Business groups;26;Private firm/company;98;NA;15;1505;NA;NA;Allianz Assurances + Vie, Zürich;ZH;comp;15
CH_TRvcL2p7AnLo;Berner Versicherungen / Bernoise Assurances + Vie, Bern;AG;1990;2001;Bern;3000;BE;CH;7,406455946;46,94761344;26;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Bernoise Assurances + Vie, Berne;BE;comp;15
