comm_id;parliament_id;comm_name;comm_maintype;comm_subtype;comm_maintype_abb;comm_subtype_abb;seats;comm_start;comm_end
CH_NT-NR_1991__CH_NT-SR_1991__DL|IPU;"CH_NT-NR_1991;CH_NT-SR_1991";Delegation bei der Interparlamentarischen Union ;DL;NA;IPU;NA;8;25nov1991;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__DL|PV-OSZE;"CH_NT-NR_1991;CH_NT-SR_1991";Delegation bei der parlamentarischen Versammlung der KSZE ;DL;NA;PV-OSZE;NA;"5;6";27jan1992;18sep1995
CH_NT-NR_1991__CH_NT-SR_1991__DL|VwD;"CH_NT-NR_1991;CH_NT-SR_1991";Verwaltungsdelegation ;DL;NA;VwD;NA;6;30nov1992;18sep1995
CH_NT-NR_1991__CO|APK;CH_NT-NR_1991;Aussenpolitische Kommission (APK) ;CO;NA;APK;NA;27;25nov1991;06oct1995
CH_NT-NR_1991__CO|Bue;CH_NT-NR_1991;Ratsbüro NR;CO;NA;Bue;NA;15;25nov1991;18sep1995
CH_NT-NR_1991__CO|FK;CH_NT-NR_1991;Finanzkommission (FK) ;CO;NA;FK;NA;25;25nov1991;06oct1995
CH_NT-NR_1991__CO|FK--SC|B+G EDA;CH_NT-NR_1991;Subkommission 2 (B + G, EDA) der Finanzkommission (FK) ;CO;SC;FK;B+G EDA;5;29nov1993;06oct1995
CH_NT-NR_1991__CO|FK--SC|B+G EDA EVED;CH_NT-NR_1991;Subkommission 2 (B + G, EDA, EVED) der Finanzkommission (FK) ;CO;SC;FK;B+G EDA EVED;7;24aug1992;08oct1993
CH_NT-NR_1991__CO|FK--SC|Bauten Strassen;CH_NT-NR_1991;Subkommission 7 (Bauten Strassen) der Finanzkommission (FK) ;CO;SC;FK;Bauten Strassen;6;24aug1992;08oct1993
CH_NT-NR_1991__CO|FK--SC|EDI;CH_NT-NR_1991;Subkommission 3 (EDI) der Finanzkommission (FK) ;CO;SC;FK;EDI;6;29nov1993;06oct1995
CH_NT-NR_1991__CO|FK--SC|EDI EJPD;CH_NT-NR_1991;Subkommission 1 (EDI, EJPD) der Finanzkommission (FK) ;CO;SC;FK;EDI EJPD;7;24aug1992;08oct1993
CH_NT-NR_1991__CO|FK--SC|EFD;CH_NT-NR_1991;Subkommission 4 (EFD) der Finanzkommission (FK) ;CO;SC;FK;EFD;8;24aug1992;08oct1993
CH_NT-NR_1991__CO|FK--SC|EFD AW;CH_NT-NR_1991;Subkommission 6 (EFD, AW) der Finanzkommission (FK) ;CO;SC;FK;EFD AW;8;29nov1993;23jun1995
CH_NT-NR_1991__CO|FK--SC|EFD EAV;CH_NT-NR_1991;Subkommission 6 (EFD, EAV) der Finanzkommission (FK) ;CO;SC;FK;EFD EAV;8;18sep1995;06oct1995
CH_NT-NR_1991__CO|FK--SC|EJPD;CH_NT-NR_1991;Subkommission 4 (EJPD) der Finanzkommission (FK) ;CO;SC;FK;EJPD;5;29nov1993;06oct1995
CH_NT-NR_1991__CO|FK--SC|EMD;CH_NT-NR_1991;Subkommission 3 (EMD) der Finanzkommission (FK) ;CO;SC;FK;EMD;"5;7";24aug1992;06oct1995
CH_NT-NR_1991__CO|FK--SC|EVD;CH_NT-NR_1991;Subkommission 5 (EVD) der Finanzkommission (FK) ;CO;SC;FK;EVD;"6;7";24aug1992;06oct1995
CH_NT-NR_1991__CO|FK--SC|EVED;CH_NT-NR_1991;Subkommission 8 (EVED) der Finanzkommission (FK) ;CO;SC;FK;EVED;5;29nov1993;06oct1995
CH_NT-NR_1991__CO|FK--SC|PTT;CH_NT-NR_1991;Subkommission 1 (PTT) der Finanzkommission (FK) ;CO;SC;FK;PTT;5;29nov1993;06oct1995
CH_NT-NR_1991__CO|FK--SC|PTT SBB;CH_NT-NR_1991;Subkommission 6 (PTT, SBB) der Finanzkommission (FK) ;CO;SC;FK;PTT SBB;8;24aug1992;08oct1993
CH_NT-NR_1991__CO|FK--SC|SBB;CH_NT-NR_1991;Subkommission 9 (SBB) der Finanzkommission (FK) ;CO;SC;FK;SBB;5;29nov1993;06oct1995
CH_NT-NR_1991__CO|GPK;CH_NT-NR_1991;Geschäftsprüfungskommission (GPK) ;CO;NA;GPK;NA;25;25nov1991;06oct1995
CH_NT-NR_1991__CO|GPK--SC|Fuehrung;CH_NT-NR_1991;Horizontale Sektion 1 (Führung) der Geschäftsprüfungskommission (GPK) ;CO;SC;GPK;Fuehrung;6;24aug1992;06oct1995
CH_NT-NR_1991__CO|GPK--SC|Information;CH_NT-NR_1991;Horizontale Sektion 2 (Information) der Geschäftsprüfungskommission (GPK) ;CO;SC;GPK;Information;5;24aug1992;06oct1995
CH_NT-NR_1991__CO|GPK--SC|Kultur;CH_NT-NR_1991;Vertikale Sektion 4 (Kultur) der Geschäftsprüfungskommission (GPK) ;CO;SC;GPK;Kultur;5;24aug1992;06oct1995
