parliament_id;leg_period_start;leg_period_end;level;country_abb;region_abb;leg_period;assembly_name;assembly_abb;coalition_parties;previous_parliament;next_parliament
DE_RE-BY_1982;10oct1982;11oct1986;RE;DE;BY;10;Landtag;LT;;DE_RE-BY_1978;DE_RE-BY_1986
DE_RE-BY_1986;12oct1986;13oct1990;RE;DE;BY;11;Landtag;LT;;DE_RE-BY_1982;DE_RE-BY_1990
DE_RE-BY_1990;14oct1990;24sep1994;RE;DE;BY;12;Landtag;LT;;DE_RE-BY_1986;DE_RE-BY_1994
DE_RE-BY_1994;25sep1994;27sep1998;RE;DE;BY;13;Landtag;LT;;DE_RE-BY_1990;DE_RE-BY_1998
DE_RE-BY_1998;28sep1998;05oct2003;RE;DE;BY;14;Landtag;LT;;DE_RE-BY_1994;DE_RE-BY_2003
DE_RE-BY_2003;06oct2003;19oct2008;RE;DE;BY;15;Landtag;LT;;DE_RE-BY_1998;DE_RE-BY_2008
DE_RE-BY_2008;20oct2008;06oct2013;RE;DE;BY;16;Landtag;LT;;DE_RE-BY_2003;DE_RE-BY_2013
DE_RE-BY_2013;07oct2013;04sep2018;RE;DE;BY;17;Landtag;LT;;DE_RE-BY_2008;DE_RE-BY_2018
DE_RE-BY_2018;05sep2018;NC;RE;DE;BY;18;Landtag;LT;;DE_RE-BY_2013;NC
DE_RE-BE_1946;26nov1946;13jan1949;RE;DE;BE;1;Berliner Stadtverordnetenversammlung zu Zeiten Gross-Berlins;BS;;NA;DE_RE-BE_1949
DE_RE-BE_1949;14jan1949;10jan1951;RE;DE;BE;2;Berliner Stadtverordnetenversammlung zu Zeiten Gross-Berlins;BS;;DE_RE-BE_1946;NA
DE_RE-BE_1951;11jan1951;10jan1955;RE;DE;BE;1;Abgeordnetenhaus;AH;;NA;DE_RE-BE_1955
DE_RE-BE_1955;11jan1955;11jan1959;RE;DE;BE;2;Abgeordnetenhaus;AH;;DE_RE-BE_1951;DE_RE-BE_1959
DE_RE-BE_1959;12jan1959;12jan1963;RE;DE;BE;3;Abgeordnetenhaus;AH;;DE_RE-BE_1955;DE_RE-BE_1963
DE_RE-BE_1963;08mar1963;08mar1967;RE;DE;BE;4;Abgeordnetenhaus;AH;;DE_RE-BE_1959;DE_RE-BE_1967
DE_RE-BE_1967;06apr1967;06apr1971;RE;DE;BE;5;Abgeordnetenhaus;AH;;DE_RE-BE_1963;DE_RE-BE_1971
DE_RE-BE_1971;19apr1971;19apr1975;RE;DE;BE;6;Abgeordnetenhaus;AH;;DE_RE-BE_1967;DE_RE-BE_1975
DE_RE-BE_1975;24apr1975;24apr1979;RE;DE;BE;7;Abgeordnetenhaus;AH;;DE_RE-BE_1971;DE_RE-BE_1979
DE_RE-BE_1979;26apr1979;10jun1981;RE;DE;BE;8;Abgeordnetenhaus;AH;;DE_RE-BE_1975;DE_RE-BE_1981
DE_RE-BE_1981;11jun1981;17apr1985;RE;DE;BE;9;Abgeordnetenhaus;AH;;DE_RE-BE_1979;DE_RE-BE_1985
DE_RE-BE_1985;18apr1985;01mar1989;RE;DE;BE;10;Abgeordnetenhaus;AH;;DE_RE-BE_1981;DE_RE-BE_1989
DE_RE-BE_1989;02mar1989;10jan1991;RE;DE;BE;11;Abgeordnetenhaus;AH;;DE_RE-BE_1985;DE_RE-BE_1991
