list_id;list_name;parliament_id;district_id;elec_id;list_level;list_number;party_id;list_length;list_votes_total_[source];list_type;list_name_check;list_id_check
DE_NT-BT_1998__Delmenhorst-Wesermarsch-Oldenburg-Land__27sep1998__district-CDU;district-CDU;DE_NT-BT_1998;DE_NT-BT_1998__Delmenhorst-Wesermarsch-Oldenburg-Land;DE_NT-BT_1998__Delmenhorst-Wesermarsch-Oldenburg-Land__27sep1998;DE_DI;NA;DE_CDU_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Delmenhorst-Wesermarsch-Oldenburg-Land__16oct1994__district-CDU;district-CDU;DE_NT-BT_1994;DE_NT-BT_1994__Delmenhorst-Wesermarsch-Oldenburg-Land;DE_NT-BT_1994__Delmenhorst-Wesermarsch-Oldenburg-Land__16oct1994;DE_DI;NA;DE_CDU_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Cuxhaven__16oct1994__district-FDP;district-FDP;DE_NT-BT_1994;DE_NT-BT_1994__Cuxhaven;DE_NT-BT_1994__Cuxhaven__16oct1994;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Cuxhaven__02dec1990__district-FDP;district-FDP;DE_NT-BT_1990;DE_NT-BT_1990__Cuxhaven;DE_NT-BT_1990__Cuxhaven__02dec1990;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1998__Cuxhaven__27sep1998__district-FDP;district-FDP;DE_NT-BT_1998;DE_NT-BT_1998__Cuxhaven;DE_NT-BT_1998__Cuxhaven__27sep1998;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Braunschweig__02dec1990__district-B90|Gru;district-B90|Gru;DE_NT-BT_1990;DE_NT-BT_1990__Braunschweig;DE_NT-BT_1990__Braunschweig__02dec1990;DE_DI;NA;DE_B90|Gru_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Northeim-Osterode__02dec1990__district-NPD;district-NPD;DE_NT-BT_1990;DE_NT-BT_1990__Northeim-Osterode;DE_NT-BT_1990__Northeim-Osterode__02dec1990;DE_DI;NA;DE_NPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_2002__Salzgitter-Wolfenbuettel__22sep2002__district-FDP;district-FDP;DE_NT-BT_2002;DE_NT-BT_2002__Salzgitter-Wolfenbuettel;DE_NT-BT_2002__Salzgitter-Wolfenbuettel__22sep2002;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Salzgitter-Wolfenbuettel__02dec1990__district-FDP;district-FDP;DE_NT-BT_1990;DE_NT-BT_1990__Salzgitter-Wolfenbuettel;DE_NT-BT_1990__Salzgitter-Wolfenbuettel__02dec1990;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Goettingen__16oct1994__district-OEDP;district-OEDP;DE_NT-BT_1994;DE_NT-BT_1994__Goettingen;DE_NT-BT_1994__Goettingen__16oct1994;DE_DI;NA;DE_OEDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Goettingen__02dec1990__district-OEDP;district-OEDP;DE_NT-BT_1990;DE_NT-BT_1990__Goettingen;DE_NT-BT_1990__Goettingen__02dec1990;DE_DI;NA;DE_OEDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Stadt-Osnabrueck__02dec1990__district-Grau;district-Grau;DE_NT-BT_1990;DE_NT-BT_1990__Stadt-Osnabrueck;DE_NT-BT_1990__Stadt-Osnabrueck__02dec1990;DE_DI;NA;DE_Grau_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Friesland-Wilhelmshaven__02dec1990__district-FDP;district-FDP;DE_NT-BT_1990;DE_NT-BT_1990__Friesland-Wilhelmshaven;DE_NT-BT_1990__Friesland-Wilhelmshaven__02dec1990;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Friesland-Wilhelmshaven__16oct1994__district-FDP;district-FDP;DE_NT-BT_1994;DE_NT-BT_1994__Friesland-Wilhelmshaven;DE_NT-BT_1994__Friesland-Wilhelmshaven__16oct1994;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Stadt-Osnabrueck__02dec1990__district-SPD;district-SPD;DE_NT-BT_1990;DE_NT-BT_1990__Stadt-Osnabrueck;DE_NT-BT_1990__Stadt-Osnabrueck__02dec1990;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Stadt-Osnabrueck__16oct1994__district-SPD;district-SPD;DE_NT-BT_1994;DE_NT-BT_1994__Stadt-Osnabrueck;DE_NT-BT_1994__Stadt-Osnabrueck__16oct1994;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1998__Stadt-Osnabrueck__27sep1998__district-SPD;district-SPD;DE_NT-BT_1998;DE_NT-BT_1998__Stadt-Osnabrueck;DE_NT-BT_1998__Stadt-Osnabrueck__27sep1998;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Goslar__02dec1990__district-FDP;district-FDP;DE_NT-BT_1990;DE_NT-BT_1990__Goslar;DE_NT-BT_1990__Goslar__02dec1990;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Goslar__16oct1994__district-FDP;district-FDP;DE_NT-BT_1994;DE_NT-BT_1994__Goslar;DE_NT-BT_1994__Goslar__16oct1994;DE_DI;NA;DE_FDP_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1998__Stade-Rotenburg-I__27sep1998__district-SPD;district-SPD;DE_NT-BT_1998;DE_NT-BT_1998__Stade-Rotenburg-I;DE_NT-BT_1998__Stade-Rotenburg-I__27sep1998;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_2009__Stade-I-Rotenburg-II__27sep2009__district-SPD;district-SPD;DE_NT-BT_2009;DE_NT-BT_2009__Stade-I-Rotenburg-II;DE_NT-BT_2009__Stade-I-Rotenburg-II__27sep2009;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_2002__Stade-Cuxhaven__22sep2002__district-SPD;district-SPD;DE_NT-BT_2002;DE_NT-BT_2002__Stade-Cuxhaven;DE_NT-BT_2002__Stade-Cuxhaven__22sep2002;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1990__Stade-Rotenburg-I__02dec1990__district-SPD;district-SPD;DE_NT-BT_1990;DE_NT-BT_1990__Stade-Rotenburg-I;DE_NT-BT_1990__Stade-Rotenburg-I__02dec1990;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_1994__Stade-Rotenburg-I__16oct1994__district-SPD;district-SPD;DE_NT-BT_1994;DE_NT-BT_1994__Stade-Rotenburg-I;DE_NT-BT_1994__Stade-Rotenburg-I__16oct1994;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
DE_NT-BT_2005__Stade-Cuxhaven__18sep2005__district-SPD;district-SPD;DE_NT-BT_2005;DE_NT-BT_2005__Stade-Cuxhaven;DE_NT-BT_2005__Stade-Cuxhaven__18sep2005;DE_DI;NA;DE_SPD_RE-NI;NA;;;TRUE;TRUE
